airport_id,code,name,city,state,statename,lat,lng
622,HLN,Helena Regional Airport,Helena,MT,Montana,46.6104,-111.99
686,IPT,Williamsport-Lycoming County Airport,Montoursville,PA,Pennsylvania,41.2441,-76.9276
707,HOB,Lea County Regional Airport,Hobbs,NM,New Mexico,32.6929,-103.215
166,GAM,Gambell Airport,Gambell,AK,Alaska,63.7667,-171.738
470,CYF,Chefornak Airport,Chefornak,AK,Alaska,60.1558,-164.273
755,ACV,Arcata Airport,Mckinleyville,CA,California,40.9698,-124.108
716,TEX,Telluride Regional Airport,Telluride,CO,Colorado,37.9544,-107.901
605,AGS,Bush Field Airport,Augusta,GA,Georgia,33.3735,-81.9732
13931,ORF,Norfolk International Airport,Norfolk,VA,Virginia,36.8977,-76.2154
13891,ONT,Ontario International Airport,Ontario,CA,California,34.062,-117.594
377,SNP,Saint Paul Island,Saint Paul Island,AK,Alaska,57.1667,-170.217
180,PIZ,Dew Station,Point Lay,AK,Alaska,69.7333,-163.017
132,GUM,Antonio B Won Pat International Airport,HagՂtձa,GU,Guam,13.4833,144.796
13851,OKC,Will Rogers World Airport,Oklahoma City,OK,Oklahoma,35.3981,-97.5974
87,SOV,Seldovia,Seldovia,AK,Alaska,59.4428,-151.705
970,CDR,Chadron Municipal Airport,Chadron,NE,Nebraska,42.8284,-103.094
854,PIB,Pine Belt Regional Airport,Moselle,MS,Mississippi,31.4671,-89.3333
357,SCK,Stockton Metropolitan Airport,Stockton,CA,California,37.8973,-121.253
814,KFP,False Pass,False Pass,AK,Alaska,54.85,-163.417
234,BQK,Glynco Jetport Airport,Brunswick,GA,Georgia,31.2525,-81.4703
227,SLQ,Sleetmute Airport,Sleetmute,AK,Alaska,61.7,-157.117
887,KKI,Akiachak,Akiachak,AK,Alaska,60.9057,-161.424
106,OLF,L. M. Clayton Airport,Wolf Point,MT,Montana,48.0964,-105.575
719,ALZ,Alitak Seaplane Base,Alitak,AK,Alaska,56.8988,-154.246
385,STG,St George Island,St George Island,AK,Alaska,62.8903,-149.054
406,CVN,Clovis Municipal Airport,Texico,NM,New Mexico,34.4271,-103.087
154,SAV,Savannah International Airport,Savannah,GA,Georgia,32.1338,-81.2133
69,TVF,Thief River Falls Regional Airport,Thief River Falls,MN,Minnesota,48.0655,-96.1791
908,FAR,Hector International Airport,Fargo,ND,North Dakota,46.9195,-96.8243
41,LNY,Lanai Airport,Lanai City,HI,Hawaii,20.7909,-156.951
