DayOfMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay,distance,flight_time
1,6,9E,441,123,903,814,5653.025427904596,7.022
4,6,EV,224,441,1628,30,67.05893133409441,0.083
7,2,DL,123,260,714,1618,2526.1262056156265,3.138
19,3,DL,224,870,553,1631,4419.245088580977,5.489
5,2,US,983,260,318,279,4594.370935048134,5.707
12,7,UA,870,123,983,77,6437.442794880623,7.996
18,1,VX,441,870,222,1100,4428.681668330508,5.501
20,7,UA,260,441,687,184,4219.131928503233,5.241
8,7,AS,123,441,226,853,5653.025427904596,7.022
13,3,YV,260,123,1394,566,2526.1262056156265,3.138
7,6,9E,983,260,192,600,4594.370935048134,5.707
8,2,YV,131,441,1454,1005,4696.6795380118465,5.834
18,2,US,441,260,129,838,4219.131928503233,5.241
26,3,VX,260,123,996,171,2526.1262056156265,3.138
29,6,US,224,131,770,1944,4630.737572725662,5.752
15,2,9E,870,441,471,910,4428.681668330508,5.501
18,3,WN,441,131,1535,1382,4696.6795380118465,5.834
17,4,EV,224,260,92,349,4157.966794274488,5.165
6,7,WN,224,441,160,1476,67.05893133409441,0.083
15,5,9E,870,131,-53,369,6269.168970616498,7.787
25,3,US,441,131,356,1102,4696.6795380118465,5.834
15,1,9E,870,224,1950,631,4419.245088580977,5.489
28,6,AS,131,123,1979,714,1124.6721495890558,1.397
25,2,DL,224,983,1227,1901,1082.1866549158137,1.344
30,3,AS,123,260,880,137,2526.1262056156265,3.138
31,1,EV,224,131,1890,183,4630.737572725662,5.752
25,2,F9,260,131,1846,576,2489.150149056575,3.092
28,5,WN,983,131,767,723,4419.77162393208,5.49
13,6,UA,441,983,1694,1749,1091.4571064792333,1.355
8,1,US,123,224,-14,842,5586.062551802552,6.939
1,1,AA,131,224,837,176,4630.737572725662,5.752
3,5,MQ,123,983,1040,1888,5488.0444674895525,6.817
5,6,OO,224,131,895,1837,4630.737572725662,5.752
7,1,B6,260,870,1665,1351,3914.2906942548548,4.862
15,7,AA,870,260,303,148,3914.2906942548548,4.862
11,7,B6,870,441,918,684,4428.681668330508,5.501
15,2,WN,224,131,651,1040,4630.737572725662,5.752
28,1,YV,870,224,301,107,4419.245088580977,5.489
27,1,EV,441,131,868,581,4696.6795380118465,5.834
16,2,VX,870,260,140,574,3914.2906942548548,4.862
13,3,YV,870,123,1068,1632,6437.442794880623,7.996
26,5,OO,441,260,534,677,4219.131928503233,5.241
31,1,AA,983,224,1184,134,1082.1866549158137,1.344
16,5,FL,123,131,132,1980,1124.6721495890558,1.397
3,5,EV,123,224,863,1553,5586.062551802552,6.939
8,5,AA,123,131,235,1617,1124.6721495890558,1.397
19,5,US,441,131,968,736,4696.6795380118465,5.834
11,2,9E,441,260,1521,436,4219.131928503233,5.241
10,4,US,441,260,197,-62,4219.131928503233,5.241
19,1,EV,870,131,773,1972,6269.168970616498,7.787
30,3,EV,983,224,900,1413,1082.1866549158137,1.344
15,7,AS,983,224,-68,1126,1082.1866549158137,1.344
31,2,9E,441,123,372,338,5653.025427904596,7.022
5,3,AS,441,131,762,1304,4696.6795380118465,5.834
21,7,9E,224,441,1970,1901,67.05893133409441,0.083
3,6,WN,983,123,1033,80,5488.0444674895525,6.817
25,2,9E,123,983,561,1709,5488.0444674895525,6.817
14,5,DL,131,441,358,208,4696.6795380118465,5.834
18,1,UA,441,224,506,1660,67.05893133409441,0.083
10,3,AA,224,123,1365,760,5586.062551802552,6.939
22,1,UA,441,224,1564,533,67.05893133409441,0.083
26,7,FL,224,260,1588,1,4157.966794274488,5.165
30,3,WN,224,441,916,992,67.05893133409441,0.083
4,4,AA,224,441,1827,811,67.05893133409441,0.083
12,3,MQ,224,870,813,-4,4419.245088580977,5.489
13,3,9E,441,224,184,1043,67.05893133409441,0.083
17,4,US,983,441,13,372,1091.4571064792333,1.355
19,3,AA,983,224,344,1679,1082.1866549158137,1.344
26,3,WN,983,441,1994,373,1091.4571064792333,1.355
7,3,AA,870,131,1686,-94,6269.168970616498,7.787
22,6,HA,131,260,1391,1666,2489.150149056575,3.092
30,3,US,123,441,410,1130,5653.025427904596,7.022
22,4,US,131,983,1548,1111,4419.77162393208,5.49
7,4,VX,131,224,612,1132,4630.737572725662,5.752
27,1,AS,870,131,1075,760,6269.168970616498,7.787
20,6,US,870,131,1804,1709,6269.168970616498,7.787
7,5,OO,870,441,595,247,4428.681668330508,5.501
22,6,US,983,131,282,862,4419.77162393208,5.49
8,7,HA,441,983,503,0,1091.4571064792333,1.355
16,5,EV,123,224,1765,1597,5586.062551802552,6.939
7,6,VX,441,131,1924,1536,4696.6795380118465,5.834
21,6,DL,224,260,336,1641,4157.966794274488,5.165
26,6,YV,224,260,105,920,4157.966794274488,5.165
15,2,YV,260,123,1199,1712,2526.1262056156265,3.138
29,5,WN,131,441,1726,551,4696.6795380118465,5.834
15,3,MQ,441,870,1035,1884,4428.681668330508,5.501
9,4,EV,441,224,1070,860,67.05893133409441,0.083
11,5,EV,983,260,466,517,4594.370935048134,5.707
23,2,HA,224,870,163,1599,4419.245088580977,5.489
18,4,WN,870,983,155,747,5474.713231697095,6.8
13,7,DL,260,870,1458,1853,3914.2906942548548,4.862
10,7,VX,123,983,1616,803,5488.0444674895525,6.817
9,4,OO,870,224,18,1492,4419.245088580977,5.489
22,7,VX,983,441,576,1814,1091.4571064792333,1.355
18,1,VX,224,131,11,243,4630.737572725662,5.752
5,7,YV,441,870,644,105,4428.681668330508,5.501
11,2,YV,983,870,1238,1282,5474.713231697095,6.8
9,7,WN,260,870,933,235,3914.2906942548548,4.862
24,5,AA,870,123,1333,818,6437.442794880623,7.996
25,6,AA,441,123,27,912,5653.025427904596,7.022
20,2,MQ,224,123,417,1839,5586.062551802552,6.939
19,2,YV,441,123,949,1410,5653.025427904596,7.022
20,6,B6,224,131,570,1174,4630.737572725662,5.752
1,3,VX,123,131,1524,712,1124.6721495890558,1.397
23,7,MQ,123,131,317,1135,1124.6721495890558,1.397
20,7,B6,260,441,68,1322,4219.131928503233,5.241
22,3,EV,131,870,1972,1297,6269.168970616498,7.787
27,4,B6,123,870,1675,1383,6437.442794880623,7.996
23,2,WN,441,870,621,1006,4428.681668330508,5.501
25,4,YV,131,260,1684,999,2489.150149056575,3.092
27,1,9E,983,224,1746,898,1082.1866549158137,1.344
