DayOfMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
1,6,9E,441,123,903,814
4,6,EV,224,441,1628,30
7,2,DL,123,260,714,1618
19,3,DL,224,870,553,1631
5,2,US,983,260,318,279
12,7,UA,870,123,983,77
18,1,VX,441,870,222,1100
20,7,UA,260,441,687,184
8,7,AS,123,441,226,853
13,3,YV,260,123,1394,566
7,6,9E,983,260,192,600
8,2,YV,131,441,1454,1005
18,2,US,441,260,129,838
26,3,VX,260,123,996,171
29,6,US,224,131,770,1944
15,2,9E,870,441,471,910
18,3,WN,441,131,1535,1382
17,4,EV,224,260,92,349
6,7,WN,224,441,160,1476
15,5,9E,870,131,-53,369
25,3,US,441,131,356,1102
15,1,9E,870,224,1950,631
28,6,AS,131,123,1979,714
25,2,DL,224,983,1227,1901
30,3,AS,123,260,880,137
31,1,EV,224,131,1890,183
25,2,F9,260,131,1846,576
28,5,WN,983,131,767,723
13,6,UA,441,983,1694,1749
8,1,US,123,224,-14,842
1,1,AA,131,224,837,176
3,5,MQ,123,983,1040,1888
5,6,OO,224,131,895,1837
7,1,B6,260,870,1665,1351
15,7,AA,870,260,303,148
11,7,B6,870,441,918,684
15,2,WN,224,131,651,1040
28,1,YV,870,224,301,107
27,1,EV,441,131,868,581
16,2,VX,870,260,140,574
13,3,YV,870,123,1068,1632
26,5,OO,441,260,534,677
31,1,AA,983,224,1184,134
16,5,FL,123,131,132,1980
3,5,EV,123,224,863,1553
8,5,AA,123,131,235,1617
19,5,US,441,131,968,736
11,2,9E,441,260,1521,436
10,4,US,441,260,197,-62
19,1,EV,870,131,773,1972
30,3,EV,983,224,900,1413
15,7,AS,983,224,-68,1126
31,2,9E,441,123,372,338
5,3,AS,441,131,762,1304
21,7,9E,224,441,1970,1901
3,6,WN,983,123,1033,80
25,2,9E,123,983,561,1709
14,5,DL,131,441,358,208
18,1,UA,441,224,506,1660
10,3,AA,224,123,1365,760
22,1,UA,441,224,1564,533
26,7,FL,224,260,1588,1
30,3,WN,224,441,916,992
4,4,AA,224,441,1827,811
12,3,MQ,224,870,813,-4
13,3,9E,441,224,184,1043
17,4,US,983,441,13,372
19,3,AA,983,224,344,1679
26,3,WN,983,441,1994,373
7,3,AA,870,131,1686,-94
22,6,HA,131,260,1391,1666
30,3,US,123,441,410,1130
22,4,US,131,983,1548,1111
7,4,VX,131,224,612,1132
27,1,AS,870,131,1075,760
20,6,US,870,131,1804,1709
7,5,OO,870,441,595,247
22,6,US,983,131,282,862
8,7,HA,441,983,503,0
16,5,EV,123,224,1765,1597
7,6,VX,441,131,1924,1536
21,6,DL,224,260,336,1641
26,6,YV,224,260,105,920
15,2,YV,260,123,1199,1712
29,5,WN,131,441,1726,551
15,3,MQ,441,870,1035,1884
9,4,EV,441,224,1070,860
11,5,EV,983,260,466,517
23,2,HA,224,870,163,1599
18,4,WN,870,983,155,747
13,7,DL,260,870,1458,1853
10,7,VX,123,983,1616,803
9,4,OO,870,224,18,1492
22,7,VX,983,441,576,1814
18,1,VX,224,131,11,243
5,7,YV,441,870,644,105
11,2,YV,983,870,1238,1282
9,7,WN,260,870,933,235
24,5,AA,870,123,1333,818
25,6,AA,441,123,27,912
20,2,MQ,224,123,417,1839
19,2,YV,441,123,949,1410
20,6,B6,224,131,570,1174
1,3,VX,123,131,1524,712
23,7,MQ,123,131,317,1135
20,7,B6,260,441,68,1322
22,3,EV,131,870,1972,1297
27,4,B6,123,870,1675,1383
23,2,WN,441,870,621,1006
25,4,YV,131,260,1684,999
27,1,9E,983,224,1746,898
19,5,VX,260,870,1277,17
6,4,HA,870,983,1353,958
29,5,9E,983,260,-59,682
24,4,OO,123,224,884,1850
16,4,DL,441,260,281,1105
23,2,AS,224,870,1411,1838
12,4,US,131,260,1341,1758
9,2,B6,983,260,688,1192
18,7,FL,123,441,684,786
9,6,AS,441,870,311,695
12,2,AS,983,224,-43,418
2,5,AS,983,123,417,1910
19,3,OO,123,260,1860,1704
31,1,9E,983,224,1856,367
13,4,EV,260,123,119,521
31,3,EV,224,131,916,385
20,5,MQ,131,870,1458,1745
28,5,WN,870,983,1150,146
4,7,HA,131,441,764,983
6,2,FL,441,123,207,541
15,6,OO,123,870,1092,33
23,3,YV,224,983,191,856
19,6,HA,983,441,1641,370
21,2,9E,131,224,482,192
26,3,AS,123,224,1698,409
10,6,VX,870,441,1015,1949
15,1,AA,131,870,1669,1220
1,1,MQ,131,983,-16,1003
25,7,FL,131,123,1827,1711
19,4,OO,983,224,273,1825
11,3,B6,983,870,558,1250
16,3,VX,870,441,50,1762
9,3,B6,123,983,1555,-96
15,4,AA,441,131,668,1381
21,4,AA,131,870,733,993
30,3,YV,131,224,1885,397
20,7,MQ,123,441,548,1172
18,4,EV,131,123,820,364
21,7,F9,870,123,1941,1095
9,4,OO,131,441,1834,898
5,4,HA,870,131,1981,459
9,7,WN,260,123,1292,1979
10,6,AS,983,123,1905,508
16,3,US,870,131,1445,1765
23,2,VX,983,224,856,1582
24,4,VX,123,983,1481,523
5,5,US,870,123,311,1703
30,4,DL,123,131,490,1579
5,1,OO,260,441,985,1286
13,6,EV,131,441,1245,1456
23,7,OO,983,441,47,180
22,3,MQ,224,441,270,1677
23,7,B6,123,441,1717,581
29,1,AA,441,983,1228,129
12,4,F9,983,260,900,1587
26,2,FL,131,441,617,223
20,6,MQ,131,870,1938,486
21,3,YV,224,870,945,-62
29,3,FL,260,870,202,1709
10,6,WN,983,131,924,1771
7,4,OO,260,983,336,871
12,5,AS,870,131,1109,-11
