DayOfMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay,distance,flight_time
1,6,9E,342,332,903,814,1489.3221786415754,1.85
4,6,EV,13796,342,1628,30,947.0295464431748,1.176
7,2,DL,332,3,714,1618,4674.552336619661,5.806
19,3,DL,13796,886,553,1631,3313.4138607753753,4.116
5,2,US,792,3,318,279,8915.228993127932,11.074
12,7,UA,886,332,983,77,3893.6439113504675,4.836
18,1,VX,342,886,222,1100,3029.839200755093,3.763
20,7,UA,3,342,687,184,3665.1453832726484,4.552
8,7,AS,332,342,226,853,1489.3221786415754,1.85
13,3,YV,3,332,1394,566,4674.552336619661,5.806
7,6,9E,792,3,192,600,8915.228993127932,11.074
8,2,YV,109,342,1454,1005,3661.994203798179,4.549
18,2,US,342,3,129,838,3665.1453832726484,4.552
26,3,VX,3,332,996,171,4674.552336619661,5.806
29,6,US,13796,109,770,1944,3967.0282495914184,4.927
15,2,9E,886,342,471,910,3029.839200755093,3.763
18,3,WN,342,109,1535,1382,3661.994203798179,4.549
17,4,EV,13796,3,92,349,3766.5306391462927,4.678
6,7,WN,13796,342,160,1476,947.0295464431748,1.176
15,5,9E,886,109,-53,369,6552.633501250248,8.139
25,3,US,342,109,356,1102,3661.994203798179,4.549
15,1,9E,886,13796,1950,631,3313.4138607753753,4.116
28,6,AS,109,332,1979,714,2721.448309465295,3.38
25,2,DL,13796,792,1227,1901,5724.425114422574,7.111
30,3,AS,332,3,880,137,4674.552336619661,5.806
31,1,EV,13796,109,1890,183,3967.0282495914184,4.927
25,2,F9,3,109,1846,576,7279.162725889051,9.042
28,5,WN,792,109,767,723,1757.5144378014597,2.183
13,6,UA,342,792,1694,1749,5375.959018836008,6.678
8,1,US,332,13796,-14,842,2326.057237259234,2.889
1,1,AA,109,13796,837,176,3967.0282495914184,4.927
3,5,MQ,332,792,1040,1888,4249.405851578451,5.278
5,6,OO,13796,109,895,1837,3967.0282495914184,4.927
7,1,B6,3,886,1665,1351,846.0814777372083,1.051
15,7,AA,886,3,303,148,846.0814777372083,1.051
11,7,B6,886,342,918,684,3029.839200755093,3.763
15,2,WN,13796,109,651,1040,3967.0282495914184,4.927
28,1,YV,886,13796,301,107,3313.4138607753753,4.116
27,1,EV,342,109,868,581,3661.994203798179,4.549
16,2,VX,886,3,140,574,846.0814777372083,1.051
13,3,YV,886,332,1068,1632,3893.6439113504675,4.836
26,5,OO,342,3,534,677,3665.1453832726484,4.552
31,1,AA,792,13796,1184,134,5724.425114422574,7.111
16,5,FL,332,109,132,1980,2721.448309465295,3.38
3,5,EV,332,13796,863,1553,2326.057237259234,2.889
8,5,AA,332,109,235,1617,2721.448309465295,3.38
19,5,US,342,109,968,736,3661.994203798179,4.549
11,2,9E,342,3,1521,436,3665.1453832726484,4.552
10,4,US,342,3,197,-62,3665.1453832726484,4.552
19,1,EV,886,109,773,1972,6552.633501250248,8.139
30,3,EV,792,13796,900,1413,5724.425114422574,7.111
