airport_id,code,name,city,state,statename,lat,lng
11433,DTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,Michigan,42.2327,-83.3412
14869,SLC,Salt Lake City International Airport,Salt Lake City,UT,Utah,40.7862,-111.982
14057,PDX,Portland International Airport,Portland,OR,Oregon,45.5867,-122.587
15016,STL,Lambert St Louis International Airport,St. Louis,MO,Missouri,38.7414,-90.3647
11193,CVG,Greater Cincinnati International Airport,Hebron,OH,Ohio,39.0571,-84.6625
10397,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,Georgia,33.6558,-84.4333
11278,DCA,Washington National Airport,Arlington,VA,Virginia,38.849,-77.0438
14107,PHX,Sky Harbor International Airport,Phoenix,AZ,Arizona,33.4376,-112.03
11298,DFW,Fort Worth International Airport,Dallas,TX,Texas,32.9222,-97.0409
12451,JAX,Jacksonville International Airport,Jacksonville,FL,Florida,30.4914,-81.676
12953,LGA,LaGuardia Airport,Flushing,NY,New York,40.7731,-73.8756
13204,MCO,Orlando International Airport,Orlando,FL,Florida,28.4418,-81.3115
13487,MSP,Minneapolis St Paul International Airport,St. Paul,MN,Minnesota,44.8793,-93.1987
12889,LAS,Mccarran International Airport,Las Vegas,NV,Nevada,36.0806,-115.143
14027,PBI,Palm Beach International Airport,West Palm Beach,FL,Florida,26.6909,-80.0889
13244,MEM,Memphis International Airport,Memphis,TN,Tennessee,35.047,-89.9823
14747,SEA,Tacoma International Airport,Seattle,WA,Washington,47.4405,-122.296
10423,AUS,Austin-Bergstrom International Airport,Austin,TX,Texas,30.2027,-97.6653
11292,DEN,Denver International Airport,Denver,CO,Colorado,39.8396,-104.672
12892,LAX,Los Angeles International Airport,Los Angeles,CA,California,33.9456,-118.391
13198,MCI,Kansas City International Airport,Kansas City,MO,Missouri,39.2992,-94.7171
11057,CLT,Douglas International Airport,Charlotte,NC,North Carolina,35.2226,-80.946
14100,PHL,Philadelphia International Airport,Philadelphia,PA,Pennsylvania,39.8768,-75.2419
12478,JFK,John F Kennedy International Airport,Jamaica,NY,New York,40.6437,-73.79
11697,FLL,Fort Lauderdale Hollywood International Airport,Dania Beach,FL,Florida,26.0722,-80.1354
12339,IND,Indianapolis International Airport,Indianapolis,IN,Indiana,39.7322,-86.2707
12266,IAH,George Bush Intercontinental Airport,Houston,TX,Texas,29.9784,-95.3424
15304,TPA,Tampa International Airport,Tampa,FL,Florida,27.9744,-82.5356
14635,RSW,Southwest Florida International Airport,Fort Myers,FL,Florida,26.5228,-81.7531
13930,ORD,Chicago O'Hare International Airport,Chicago,IL,Illinois,41.9796,-87.8825
14679,SAN,San Diego International Airport,San Diego,CA,California,32.7299,-117.195
10721,BIL,Logan International Airport,Billings,MT,Montana,45.8034,-108.537
10821,BWI,Baltimore-Washington International Thurgood Mars,Baltimore,MD,Maryland,39.1841,-76.6745
11066,CMH,Port Columbus International Airport,Columbus,OH,Ohio,39.9974,-82.8877
13495,MSY,New Orleans International Airport,Kenner,LA,Louisiana,29.983,-90.2569
10140,ABQ,Albuquerque International Airport,Albuquerque,NM,New Mexico,35.0494,-106.625
10792,BUF,Greater Buffalo International Airport,Buffalo,NY,New York,42.9309,-78.738
14492,RDU,Durham International Airport,Raleigh/Durham,NC,North Carolina,35.8729,-78.7923
11618,EWR,Newark International Airport,Newark,NJ,New Jersey,40.6924,-74.1843
14771,SFO,San Francisco International Airport,San Francisco,CA,California,37.6148,-122.392
12173,HNL,Honolulu International Airport,Honolulu,HI,Hawaii,21.3358,-157.919
14908,SNA,John Wayne Airport,Santa Ana,CA,California,33.6813,-117.859
13342,MKE,General Mitchell International Airport,Milwaukee,WI,Wisconsin,42.9471,-87.9051
14730,SDF,Louisville International Airport,Louisville,KY,Kentucky,38.1865,-85.7462
14122,PIT,Pittsburgh International Airport,Coraopolis,PA,Pennsylvania,40.4914,-80.2328
10693,BNA,Nashville International Airport,Nashville,TN,Tennessee,36.1342,-86.6682
13303,MIA,Miami International Airport,Miami,FL,Florida,25.7953,-80.2727
14893,SMF,Sacramento International Airport,Sacramento,CA,California,38.683,-121.591
14524,RIC,Richmond International Airport,Richmond,VA,Virginia,37.5108,-77.3332
14843,SJU,Luis Munoz Marin Airport,Carolina,PR,Puerto Rico,18.4367,-66.0095
15376,TUS,Tucson International Airport,Tucson,AZ,Arizona,32.1204,-110.936
13232,MDW,Chicago Midway International Airport,Chicago,IL,Illinois,41.7875,-87.7416
14683,SAT,San Antonio International Airport,San Antonio,TX,Texas,29.5252,-98.4729
13871,OMA,Eppley Airfield,Omaha,NE,Nebraska,41.3,-95.8998
11042,CLE,Hopkins International Airport,Cleveland,OH,Ohio,41.4115,-81.8339
14570,RNO,Reno-Tahoe International Airport,Reno,NV,Nevada,39.5064,-119.776
12264,IAD,Dulles International Airport,Washington,VA,Virginia,38.9556,-77.4484
13830,OGG,Kahului Airport,Kahului,HI,Hawaii,20.8926,-156.441
13931,ORF,Norfolk International Airport,Norfolk,VA,Virginia,36.8977,-76.2154
10299,ANC,Anchorage International Airport,Anchorage,AK,Alaska,61.1767,-149.961
14307,PVD,Theodore Francis Green State Airport,Warwick,RI,Rhode Island,41.723,-71.4399
10529,BDL,Bradley International Airport,Windsor Locks,CT,Connecticut,41.9271,-72.6816
14831,SJC,Norman Y Mineta San Jose International Airport,San Jose,CA,California,37.3679,-121.926
12191,HOU,William P Hobby Airport,Houston,TX,Texas,29.6572,-95.2795
13796,OAK,Oakland International Airport,Oakland,CA,California,37.7158,-122.209
13851,OKC,Will Rogers World Airport,Oklahoma City,OK,Oklahoma,35.3981,-97.5974
12954,LGB,Long Beach Daugherty Field Airport,Long Beach,CA,California,33.8186,-118.144
11259,DAL,Dallas Love Field Airport,Dallas,TX,Texas,32.8439,-96.8496
10800,BUR,Burbank Glendale Pasadena Airport,Burbank,CA,California,34.1963,-118.352
13891,ONT,Ontario International Airport,Ontario,CA,California,34.062,-117.594
655,ABE,Lehigh Valley International Airport,Allentown,PA,Pennsylvania,40.6514,-75.4342
115,ABI,Abilene Regional Airport,Abilene,TX,Texas,32.4164,-99.6803
26,ABL,Ambler Airport,Kiana,AK,Alaska,67.1058,-157.854
282,ABR,Aberdeen Regional Airport,Aberdeen,SD,South Dakota,45.4536,-98.4189
251,ABY,Southwest Georgia Regional Airport,Albany,GA,Georgia,31.5328,-84.1867
229,ACK,Nantucket Memorial Airport,Nantucket,MA,Massachusetts,41.2568,-70.0649
143,ACT,Waco Regional Airport,Waco,TX,Texas,31.609,-97.2234
755,ACV,Arcata Airport,Mckinleyville,CA,California,40.9698,-124.108
105,ACY,Atlantic City International Airport,Egg Harbor City,NJ,New Jersey,39.4512,-74.5716
693,ADK,Adak Airport,Adak,AK,Alaska,51.88,-176.639
759,ADQ,Kodiak Airport,Kodiak,AK,Alaska,57.7545,-152.512
914,AET,Allakaket Airport,Allakaket,AK,Alaska,66.55,-152.65
559,AEX,Alexandria International Airport,Alexandria,LA,Louisiana,31.323,-92.5417
90,AGN,Angoon Airport,Angoon,AK,Alaska,57.4996,-134.577
605,AGS,Bush Field Airport,Augusta,GA,Georgia,33.3735,-81.9732
433,AHC,Amedee Army Air Field,Herlong,CA,California,40.2664,-120.151
33,AIA,Alliance Municipal Airport,Alliance,NE,Nebraska,42.0622,-102.81
31,AIN,Wainwright Airport,Wainwright,AK,Alaska,70.6139,-159.857
96,AKB,Atka Airport,Atka,AK,Alaska,52.2217,-174.204
224,AKI,Akiak Airport,Bethel,AK,Alaska,60.8866,-161.218
239,AKK,Akhiok Airport,Kodiak,AK,Alaska,56.95,-154.167
518,AKN,King Salmon Airport,King Salmon,AK,Alaska,58.6775,-156.655
617,AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,AK,Alaska,68.1916,-151.79
28,ALB,Albany International Airport,Latham,NY,New York,42.7426,-73.809
575,ALM,Alamogordo White Sands Regional Airport,Alamogordo,NM,New Mexico,32.8407,-105.994
204,ALO,Waterloo Municipal Airport,Waterloo,IA,Iowa,42.5509,-92.3951
734,ALS,San Luis Valley Regional Airport,Alamosa,CO,Colorado,37.4444,-105.865
666,ALW,Walla Walla Regional Airport,Walla Walla,WA,Washington,46.0879,-118.283
719,ALZ,Alitak Seaplane Base,Alitak,AK,Alaska,56.8988,-154.246
986,AMA,Amarillo International Airport,Amarillo,TX,Texas,35.2177,-101.706
226,ANI,Aniak Airport,Bethel,AK,Alaska,61.5742,-159.535
460,ANV,Anvik Airport,Anvik,AK,Alaska,62.65,-160.217
604,AOO,Altoona-Blair County Airport,Martinsburg,PA,Pennsylvania,40.2952,-78.324
285,AOS,Amook Bay Seaplane Base,Amook,AK,Alaska,57.4672,-153.839
829,APA,Centennial Airport,Englewood,CO,Colorado,39.5752,-104.845
891,APF,Naples Municipal Airport,Naples,FL,Florida,26.1483,-81.7745
7,APN,Alpena County Regional Airport,Alpena,MI,Michigan,45.07,-83.5683
778,ARC,Arctic Village Airport,Arctic Village,AK,Alaska,68.1167,-145.583
826,ART,Watertown International Airport,Dexter,NY,New York,43.9942,-76.0232
164,ARV,Lakelan-Noble F. Lee Memerial Field Airport,Woodruff,WI,Wisconsin,45.9296,-89.7371
715,ASE,Aspen Pitkin County Airport-Sardy Field,Aspen,CO,Colorado,39.2197,-106.864
983,ATK,Atqasuk Airport,Atqasuk,AK,Alaska,70.4639,-157.331
964,ATT,Atmautluak Airport,Atmautluak,AK,Alaska,60.865,-162.276
160,ATW,Outagamie County Airport,Appleton,WI,Wisconsin,44.2603,-88.5111
221,ATY,Watertown Municipal Airport,Watertown,SD,South Dakota,44.9216,-97.1609
782,AUG,Augusta State Airport,Augusta,ME,Maine,44.3181,-69.7933
345,AUK,Alakanuk Airport,Alakanuk,AK,Alaska,62.6833,-164.633
95,AVL,Asheville Regional Airport,Fletcher,NC,North Carolina,35.4349,-82.5373
390,AVP,Wilkes Barre Scranton International Airport,Pittston,PA,Pennsylvania,41.3354,-75.7294
100,AZA,Phoenix-Mesa Gateway Airport,Phoenix,AZ,Arizona,33.3078,-111.656
368,AZO,Kalamazoo-Battle Creek International Airport,Kalamazoo,MI,Michigan,42.2398,-85.5563
353,BDR,Igor I Sikorsky Memorial Airport,Stratford,CT,Connecticut,41.1636,-73.1283
619,BET,Bethel Airport,Bethel,AK,Alaska,60.7788,-161.847
271,BFD,Bradford Regional Airport,Lewis Run,PA,Pennsylvania,41.7964,-78.6407
827,BFF,William B Heilig Field Airport,Scottsbluff,NE,Nebraska,41.8683,-103.597
45,BFI,King County International Airport-Boeing Field,Seattle,WA,Washington,47.5369,-122.304
748,BFL,Kern County-Meadows Field Airport,Bakersfield,CA,California,35.4288,-119.044
471,BGM,Greater Binghamton Edwin A Link Field Airport,Johnson City,NY,New York,42.2082,-75.9825
550,BGR,Bangor International Airport,Bangor,ME,Maine,44.8086,-68.8167
128,BHB,Hancock County-Bar Harbor Airport,Ellsworth,ME,Maine,44.4461,-68.3615
388,BHM,Birmingham International Airport,Birmingham,AL,Alabama,33.5604,-86.7492
81,BID,Block Island State Airport,Block Island,RI,Rhode Island,41.1696,-71.58
301,BIS,Bismarck Municipal Airport,Bismarck,ND,North Dakota,46.7745,-100.757
850,BJI,Bemidji-Beltrami County Airport,Bemidji,MN,Minnesota,47.5065,-94.9338
644,BKC,Buckland Airport,Buckland,AK,Alaska,65.9833,-161.167
634,BKL,Burke Lakefront Airport,Cleveland,OH,Ohio,41.5115,-81.6869
907,BKW,Raleigh County Memorial Airport,Beaver,WV,West Virginia,37.7849,-81.1174
883,BLI,Bellingham International Airport,Bellingham,WA,Washington,48.7955,-122.532
371,BLV,Belleville,Belleville,IL,Illinois,38.5412,-89.8499
592,BMI,Bloomington Normal Airport,Bloomington,IL,Illinois,40.4841,-88.9134
722,BOI,Boise Air Terminal,Boise,ID,Idaho,43.5709,-116.222
72,BOS,Gen E L Logan International Airport,Boston,MA,Massachusetts,42.3717,-71.0281
47,BOW,Bartow Municipal Airport,Bartow,FL,Florida,27.9493,-81.7818
678,BPT,Jefferson County Airport,Beaumont,TX,Texas,29.9551,-94.0185
234,BQK,Glynco Jetport Airport,Brunswick,GA,Georgia,31.2525,-81.4703
792,BQN,Rafael Hernandez Airport,Aguadilla,PR,Puerto Rico,18.496,-67.1357
297,BRD,Brainerd-Crow Wing County Regional Airport,Brainerd,MN,Minnesota,46.3909,-94.1413
82,BRL,Burlington Municipal Airport,Burlington,IA,Iowa,40.7816,-91.1197
876,BRO,Brownsville-South Padre Island International Air,Brownsville,TX,Texas,25.9064,-97.4321
978,BRW,Wiley Post Will Rogers Memorial Airport,Barrow,AK,Alaska,71.2892,-156.772
888,BTI,Barter Island Airport,Kaktovik,AK,Alaska,70.1478,-143.579
104,BTL,W K Kellogg Airport,Battle Creek,MI,Michigan,42.3046,-85.2448
947,BTM,Bert Mooney Airport,Butte,MT,Montana,45.9544,-112.503
954,BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,Louisiana,30.533,-91.1567
465,BTT,Bettles Airport,Bettles,AK,Alaska,66.9134,-151.551
651,BTV,Burlington International Airport,South Burlington,VT,Vermont,44.4688,-73.1552
380,BZN,Gallatin Field Airport,Bozeman,MT,Montana,45.7722,-111.157
364,CAE,Columbia Metropolitan Airport,West Columbia,SC,South Carolina,33.9468,-81.1241
215,CAK,Akron Canton Regional Airport,Canton,OH,Ohio,40.9149,-81.4309
687,CDB,Cold Bay Airport,Cold Bay,AK,Alaska,55.2005,-162.705
274,CDC,Cedar City Municipal Airport,Cedar City,UT,Utah,37.6992,-113.092
970,CDR,Chadron Municipal Airport,Chadron,NE,Nebraska,42.8284,-103.094
700,CDV,Merle K Mudhole Smith Airport,Cordova,AK,Alaska,60.4924,-145.475
664,CDW,Essex County Airport,Fairfield,NJ,New Jersey,40.8759,-74.2775
74,CEC,Jack Mcnamara Field Airport,Crescent City,CA,California,41.7765,-124.237
624,CEM,Central Airport,Circle,AK,Alaska,65.6121,-144.674
927,CEZ,Cortez-Montezuma County Airport,Cortez,CO,Colorado,37.3044,-108.63
176,CGA,Craig Seaplane Base,Craig,AK,Alaska,55.4592,-133.106
547,CGI,Cape Girardeau Municipal Airport,Scott City,MO,Missouri,37.2272,-89.5637
747,CHA,Chattanooga Metropolitan Airport,Chattanooga,TN,Tennessee,35.0373,-85.1966
994,CHO,Charlottesville Albemarle Airport,Earlysville,VA,Virginia,38.14,-78.4487
168,CHS,Charleston International Airport,North Charleston,SC,South Carolina,32.8838,-80.0356
474,CHU,Chuathbaluk,Chuathbaluk,AK,Alaska,61.5769,-159.244
389,CIC,Chico Municipal Airport,Chico,CA,California,39.7987,-121.854
277,CID,Cedar Rapids Municipal Airport,Cedar Rapids,IA,Iowa,41.8893,-91.7008
656,CIK,Chalkyitsik Airport,Chalkyitsik,AK,Alaska,66.65,-143.75
705,CIU,Chippewa County International Airport,Kincheloe,MI,Michigan,46.2581,-84.4739
571,CKB,Benedum Airport,Clarksburg,WV,West Virginia,39.2967,-80.2314
225,CKD,Crooked Creek Airport,Aniak,AK,Alaska,61.8667,-158.133
702,CKX,Chicken Airport,Tok,AK,Alaska,64.0833,-141.917
333,CLD,Mcclellan Palomar Airport,Carlsbad,CA,California,33.1255,-117.275
787,CLL,Easterwood Field Airport,College Station,TX,Texas,30.5938,-96.3685
795,CLM,William R Fairchild International Airport,Port Angeles,WA,Washington,48.1155,-123.491
58,CLP,Clarks Point Airport,Clarks Point,AK,Alaska,58.8517,-158.51
982,CMI,University of Illinois-Willard Airport,Savoy,IL,Illinois,40.0367,-88.2638
825,CMX,Houghton County Memorial Airport,Hancock,MI,Michigan,47.1689,-88.4942
324,CNM,Cavern City Air Terminal Airport,Carlsbad,NM,New Mexico,32.3458,-104.251
411,CNY,Canyonlands Field Airport,Thompson,UT,Utah,38.7609,-109.742
275,COD,Yellowstone Regional Airport,Cody/Yellowstone,WY,Wyoming,44.5134,-109.031
68,COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,Colorado,38.7829,-104.697
217,COU,Columbia Regional Airport,Columbia,MO,Missouri,38.8174,-92.2218
581,CPR,Natrona County International Airport,Casper,WY,Wyoming,42.8966,-106.465
736,CPX,Culebra Airport,Culebra,PR,Puerto Rico,18.3204,-65.2929
323,CRP,Corpus Christi International Airport,Corpus Christi,TX,Texas,27.7747,-97.5019
218,CRW,Yeager Airport,Charleston,WV,West Virginia,38.3697,-81.5951
672,CSG,Columbus Metropolitan Airport,Columbus,GA,Georgia,32.5184,-84.9401
406,CVN,Clovis Municipal Airport,Texico,NM,New Mexico,34.4271,-103.087
